题目1: 77.0×7.0=
题目2: 22.0+57.0÷96.0=
题目3: 48.0-30.0=
题目4: 95.0×57.0×68.0=
题目5: 14.0×54.0=
题目6: 64.0÷68.0=
题目7: 68.0-6.0=
题目8: 55.0+11.0=
题目9: 22.0×95.0=
题目10: 22.0+94.0=
题目11: 48.0-16.0=
题目12: 97.0÷95.0×86.0=
题目13: 15.0-59.0+45.0=
题目14: 78.0-66.0=
题目15: (76.0-23.0)÷97.0=
题目16: 44.0×83.0=
题目17: 2.0×44.0=
题目18: 96.0×17.0=
题目19: 51.0-33.0+96.0=
题目20: 77.0÷18.0×21.0=
题目21: 46.0÷16.0=
题目22: (93.0-5.0)×8.0=
题目23: 68.0-26.0=
题目24: 94.0+10.0=
题目25: 38.0×32.0×16.0=
题目26: 55.0×61.0=
题目27: 88.0-5.0=
题目28: 33.0×60.0=
题目29: 65.0+87.0÷51.0+8.0=
题目30: 42.0×48.0=
题目31: 40.0×72.0=
题目32: 28.0×6.0×60.0=
题目33: 67.0+87.0=
题目34: 90.0-90.0+4.0=
题目35: 69.0-66.0=
题目36: (46.0-36.0)÷40.0=
题目37: 1.0+17.0=
题目38: 12.0×90.0=
题目39: 59.0+70.0=
题目40: 8.0÷20.0×65.0=
题目41: 45.0×55.0=
题目42: 78.0÷8.0÷98.0=
题目43: 64.0-51.0=
题目44: 1.0+43.0=
题目45: 1.0×3.0×45.0=
题目46: 12.0×74.0+100.0=
题目47: 80.0÷52.0=
题目48: 51.0×48.0÷24.0=
题目49: 67.0-59.0=
题目50: 61.0÷52.0×87.0=
题目51: 49.0×18.0÷2.0=
题目52: (81.0-7.0)×12.0=
题目53: 23.0+48.0=
题目54: 62.0+82.0=
题目55: 95.0-64.0=
题目56: 87.0×86.0+56.0=
题目57: 2.0÷21.0=
题目58: 30.0+66.0÷60.0=
题目59: 90.0-44.0=
题目60: 53.0×82.0=
题目61: 61.0+59.0+48.0=
题目62: 46.0÷15.0+91.0=
题目63: 61.0+50.0÷72.0+5.0=
题目64: 98.0×38.0=
题目65: 57.0+19.0=
题目66: 77.0+55.0=
题目67: 53.0×81.0=
题目68: (99.0-58.0)÷82.0=
题目69: 49.0÷64.0÷36.0=
题目70: 60.0×64.0=
题目71: 75.0÷83.0=
题目72: 99.0+99.0×53.0=
题目73: 85.0+27.0+78.0=
题目74: 47.0÷6.0÷97.0=
题目75: (90.0-52.0)×89.0=
题目76: 73.0-10.0=
题目77: (60.0-47.0)÷45.0=
题目78: 51.0×92.0×97.0=
题目79: 98.0×100.0+53.0=
题目80: 78.0÷44.0+99.0=
题目81: 30.0÷78.0+45.0=
题目82: 19.0÷20.0=
题目83: 42.0+60.0=
题目84: 92.0÷71.0=
题目85: 90.0÷61.0=
题目86: 96.0+94.0=
题目87: 43.0÷28.0÷28.0=
题目88: 34.0×46.0+48.0=
题目89: 13.0+76.0×54.0+68.0=
题目90: 97.0+36.0-25.0=
题目91: 100.0+89.0+2.0=
题目92: 73.0-37.0=
题目93: (29.0-9.0)÷93.0=
题目94: (77.0-29.0)×26.0=
题目95: 94.0×33.0+74.0=
题目96: (33.0-3.0)×39.0=
题目97: 18.0÷51.0×95.0=
题目98: 47.0-9.0=
题目99: 85.0×100.0+59.0=
题目100: 51.0×75.0+36.0=
题目101: 55.0÷69.0=
题目102: 70.0÷32.0÷33.0=
题目103: 78.0-36.0+34.0=
题目104: 47.0÷4.0×4.0=
题目105: 30.0÷77.0=
题目106: 85.0÷12.0=
题目107: 95.0-55.0=
题目108: 60.0-42.0=
题目109: 71.0×68.0=
题目110: 22.0×31.0=
题目111: 76.0÷33.0×78.0=
题目112: 85.0-62.0+7.0=
题目113: 24.0÷6.0=
题目114: 78.0-56.0=
题目115: 13.0×88.0+58.0=
题目116: 69.0-24.0=
题目117: 72.0-37.0=
题目118: 90.0+81.0=
题目119: 93.0+5.0×17.0+72.0=
题目120: 60.0×100.0+58.0=
题目121: 61.0+27.0=
题目122: 46.0+64.0-81.0=
题目123: 81.0+20.0+15.0+92.0=
题目124: 11.0+25.0=
题目125: 37.0+98.0=
题目126: 42.0÷69.0+37.0=
题目127: 65.0×23.0×90.0=
题目128: 37.0÷87.0=
题目129: 71.0-37.0=
题目130: 51.0×79.0+55.0=
题目131: (50.0-15.0)÷57.0=
题目132: 34.0+73.0=
题目133: 90.0-53.0=
题目134: 22.0÷8.0=
题目135: (84.0-12.0)÷84.0=
题目136: 4.0+31.0=
题目137: 15.0+11.0÷64.0+63.0=
题目138: 44.0×73.0=
题目139: 74.0+14.0-48.0=
题目140: 58.0-26.0=
题目141: 89.0+67.0÷44.0=
题目142: 88.0×90.0+39.0=
题目143: 99.0+52.0=
题目144: (93.0-83.0)×95.0=
题目145: 44.0-1.0=
题目146: 71.0×25.0=
题目147: 51.0+41.0×63.0=
题目148: 68.0×27.0=
题目149: 65.0-14.0=
题目150: (45.0-4.0)×29.0=
题目151: 69.0÷51.0×45.0=
题目152: 94.0÷62.0÷95.0=
题目153: 45.0×1.0÷13.0=
题目154: 20.0÷61.0=
题目155: 90.0×89.0=
题目156: 34.0+100.0=
题目157: 90.0×29.0÷99.0=
题目158: 80.0-17.0+33.0=
题目159: 10.0+44.0=
题目160: 21.0×90.0=
题目161: 82.0+94.0=
题目162: 34.0+69.0-11.0=
题目163: 54.0-25.0=
题目164: 81.0×74.0×76.0=
题目165: 96.0+35.0÷47.0=
题目166: 66.0+51.0+50.0=
题目167: 85.0÷74.0+2.0=
题目168: 31.0÷75.0=
题目169: 65.0+90.0=
题目170: 3.0÷52.0÷100.0=
题目171: 10.0÷100.0÷36.0=
题目172: 38.0+81.0×19.0=
题目173: 59.0×21.0=
题目174: 35.0×16.0=
题目175: 80.0×28.0×16.0=
题目176: 91.0÷67.0×12.0=
题目177: 80.0+4.0×73.0=
题目178: 17.0÷58.0=
题目179: (61.0-25.0)÷31.0=
题目180: 88.0+51.0=
题目181: 100.0+64.0=
题目182: 13.0+61.0÷66.0×67.0=
题目183: 51.0+69.0+52.0=
题目184: 9.0+87.0×18.0=
题目185: 33.0+74.0×66.0=
题目186: 51.0×88.0=
题目187: 15.0÷38.0×8.0=
题目188: 44.0÷25.0=
题目189: 17.0×51.0=
题目190: 41.0+56.0=
题目191: 62.0+31.0=
题目192: 91.0+27.0÷2.0=
题目193: 81.0÷40.0=
题目194: 6.0÷50.0=
题目195: 53.0×76.0=
题目196: 91.0÷9.0=
题目197: 13.0×33.0=
题目198: 31.0×16.0+74.0=
题目199: 60.0×62.0=
题目200: 21.0×15.0=
题目201: 20.0-16.0=
题目202: 45.0÷10.0÷9.0=
题目203: 97.0-96.0=
题目204: 75.0+49.0×40.0=
题目205: 86.0÷29.0×49.0=
题目206: 68.0×19.0=
题目207: 10.0÷84.0=
题目208: 42.0×80.0=
题目209: 82.0×90.0+49.0=
题目210: (94.0-30.0)÷75.0=
题目211: 49.0×40.0÷92.0=
题目212: 11.0+76.0=
题目213: 37.0+24.0+52.0=
题目214: 69.0÷73.0=
题目215: 12.0-82.0+79.0=
题目216: 10.0÷10.0×44.0=
题目217: 87.0+8.0÷90.0=
题目218: 46.0-15.0=
题目219: 2.0×93.0+70.0=
题目220: 69.0+2.0=
题目221: 58.0+87.0÷32.0×12.0=
题目222: 39.0×76.0×55.0=
题目223: 100.0-89.0=
题目224: 98.0×23.0+82.0=
题目225: 95.0÷52.0+2.0=
题目226: 81.0+16.0×33.0=
题目227: 86.0×96.0÷93.0=
题目228: 84.0÷100.0=
题目229: 21.0÷23.0+100.0=
题目230: (73.0-31.0)÷33.0=
题目231: 40.0×89.0=
题目232: 63.0÷64.0=
题目233: 30.0×48.0÷91.0=
题目234: 33.0×23.0=
题目235: 75.0-62.0+37.0=
题目236: 85.0+75.0+7.0=
题目237: 60.0×90.0=
题目238: 33.0÷87.0=
题目239: (77.0-28.0)×7.0=
题目240: 55.0+13.0×81.0=
题目241: 8.0÷83.0=
题目242: 24.0×97.0=
题目243: 51.0÷64.0÷100.0=
题目244: 52.0+80.0=
题目245: 21.0×59.0=
题目246: 32.0+84.0÷78.0-26.0=
题目247: 94.0+50.0÷65.0-91.0=
题目248: 84.0+89.0=
题目249: 65.0×20.0×44.0=
题目250: 44.0×52.0÷28.0=
题目251: 59.0+75.0÷75.0-57.0=
题目252: 32.0+75.0+2.0=
题目253: (45.0-7.0)÷69.0=
题目254: 32.0÷29.0=
题目255: 100.0+51.0×75.0=
题目256: 19.0÷74.0=
题目257: 60.0-10.0=
题目258: 11.0÷51.0=
题目259: 17.0×44.0=
题目260: 37.0×71.0+83.0=
题目261: 85.0-33.0=
题目262: 38.0-9.0=
题目263: 38.0×44.0+66.0=
题目264: 52.0+75.0-76.0+96.0=
题目265: 11.0÷45.0÷75.0=
题目266: 54.0×56.0=
题目267: 51.0-13.0=
题目268: 33.0+88.0+56.0=
题目269: 71.0÷21.0×16.0=
题目270: 77.0÷98.0=
题目271: (4.0-2.0)×64.0=
题目272: 71.0+98.0×34.0=
题目273: (66.0-8.0)×46.0=
题目274: 49.0×32.0=
题目275: 36.0-29.0=
题目276: 17.0÷32.0=
题目277: 47.0-7.0=
题目278: 29.0÷58.0=
题目279: 90.0+6.0=
题目280: 5.0+22.0=
题目281: 11.0×45.0=
题目282: 79.0-58.0=
题目283: 23.0+31.0÷92.0=
题目284: 60.0+35.0=
题目285: 58.0+10.0=
题目286: 22.0÷28.0+15.0=
题目287: 78.0-12.0=
题目288: 2.0+85.0×8.0+77.0=
题目289: 10.0÷16.0=
题目290: 59.0+48.0-2.0=
题目291: 62.0÷3.0×68.0=
题目292: 31.0÷65.0=
题目293: 75.0×76.0=
题目294: 17.0+57.0+88.0=
题目295: (97.0-40.0)÷63.0=
题目296: 59.0+76.0=
题目297: 44.0×86.0÷25.0=
题目298: 1.0÷50.0=
题目299: 27.0+75.0×91.0+7.0=
题目300: 21.0+85.0=
题目301: 99.0×64.0+43.0=
题目302: 33.0+61.0=
题目303: 4.0÷88.0×16.0=
题目304: (100.0-53.0)÷48.0=
题目305: 93.0+17.0×17.0=
题目306: 85.0-78.0=
题目307: 25.0÷23.0=
题目308: 37.0+81.0-14.0=
题目309: 87.0÷27.0=
题目310: 26.0×99.0+56.0=
题目311: 73.0×75.0+84.0=
题目312: 52.0÷65.0=
题目313: 84.0-51.0=
题目314: 90.0×73.0=
题目315: 59.0+2.0÷72.0=
题目316: 25.0×80.0=
